Date of Crime,Crime,Violent Crime,NonViolent Crime
1/1/15,87,30,57
1/10/15,71,17,54
1/11/15,82,23,59
1/12/15,95,25,70
1/13/15,64,26,38
1/14/15,73,24,49
1/15/15,106,27,79
1/16/15,89,27,62
1/17/15,90,29,61
1/18/15,79,24,55
1/19/15,89,19,70
1/2/15,87,21,66
1/20/15,76,24,52
1/21/15,75,16,59
1/22/15,80,23,57
1/23/15,65,19,46
1/24/15,97,21,76
1/25/15,71,24,47
1/26/15,86,33,53
1/27/15,76,24,52
1/28/15,90,26,64
1/29/15,82,32,50
1/3/15,81,30,51
1/30/15,75,22,53
1/31/15,90,23,67
1/4/15,81,21,60
1/5/15,85,18,67
1/6/15,70,21,49
1/7/15,58,18,40
1/8/15,61,18,43
1/9/15,94,23,71
10/1/15,84,36,48
10/10/15,121,23,98
10/11/15,90,25,65
10/12/15,77,29,48
10/13/15,71,27,44
10/14/15,76,25,51
10/15/15,72,12,60
10/16/15,66,18,48
10/17/15,89,21,68
10/18/15,78,26,52
10/19/15,89,24,65
10/2/15,88,28,60
10/20/15,78,23,55
10/21/15,94,16,78
10/22/15,90,33,57
10/23/15,110,26,84
10/24/15,120,37,83
10/25/15,81,32,49
10/26/15,93,29,64
10/27/15,92,24,68
10/28/15,76,20,56
10/29/15,75,20,55
10/3/15,87,28,59
10/30/15,77,21,56
10/31/15,100,30,70
10/4/15,81,15,66
10/5/15,86,26,60
10/6/15,74,20,54
10/7/15,93,33,60
10/8/15,92,21,71
10/9/15,107,25,82
11/1/15,79,22,57
11/10/15,78,26,52
11/11/15,62,25,37
11/12/15,80,21,59
11/13/15,94,24,70
11/14/15,65,16,49
11/15/15,69,15,54
11/16/15,81,27,54
11/17/15,95,31,64
11/18/15,93,23,70
11/19/15,45,18,27
11/2/15,65,28,37
11/20/15,80,26,54
11/21/15,73,22,51
11/22/15,72,23,49
11/23/15,81,20,61
11/24/15,66,20,46
11/25/15,86,27,59
11/26/15,54,25,29
11/27/15,102,31,71
11/28/15,91,25,66
11/29/15,66,20,46
11/3/15,93,27,66
