Date,Crime Count,Moon Phase,Special,Special Type
1/1/15,1201.0,,,
1/10/15,646.0,,,
1/11/15,648.0,,,
1/12/15,607.0,,,
1/13/15,611.0,Third Quarter,n,
1/14/15,675.0,,,
1/15/15,762.0,,,
1/16/15,710.0,,,
1/17/15,741.0,,,
1/18/15,697.0,,,
1/19/15,708.0,,,
1/2/15,673.0,,,
1/20/15,792.0,New Moon,n,
1/21/15,745.0,,,
1/22/15,752.0,,,
1/23/15,800.0,,,
1/24/15,756.0,,,
1/25/15,646.0,,,
1/26/15,656.0,First Quarter,n,
1/27/15,674.0,,,
1/28/15,646.0,,,
1/29/15,703.0,,,
1/3/15,648.0,,,
1/30/15,714.0,,,
1/31/15,635.0,,,
1/4/15,513.0,Full Moon,n,
1/5/15,521.0,,,
1/6/15,502.0,,,
1/7/15,474.0,,,
1/8/15,447.0,,,
1/9/15,590.0,,,
10/1/15,881.0,,,
10/10/15,727.0,,,
10/11/15,735.0,,,
10/12/15,730.0,New Moon,y,Micro New Moon
10/13/15,741.0,,,
10/14/15,764.0,,,
10/15/15,815.0,,,
10/16/15,733.0,,,
10/17/15,706.0,,,
10/18/15,675.0,,,
10/19/15,788.0,,,
10/2/15,797.0,,,
10/20/15,784.0,First Quarter,n,
10/21/15,793.0,,,
10/22/15,773.0,,,
10/23/15,777.0,,,
10/24/15,764.0,,,
10/25/15,728.0,,,
10/26/15,780.0,,,
10/27/15,650.0,Full Moon,y,Super Full Moon
10/28/15,681.0,,,
10/29/15,669.0,,,
10/3/15,708.0,,,
10/30/15,775.0,,,
10/31/15,721.0,,,
10/4/15,653.0,Third Quarter,n,
10/5/15,755.0,,,
10/6/15,752.0,,,
10/7/15,717.0,,,
10/8/15,701.0,,,
10/9/15,794.0,,,
11/1/15,989.0,,,
11/10/15,640.0,,,
11/11/15,686.0,New Moon,n,
11/12/15,692.0,,,
11/13/15,679.0,,,
11/14/15,696.0,,,
11/15/15,721.0,,,
11/16/15,743.0,,,
11/17/15,667.0,,,
11/18/15,681.0,First Quarter,n,
11/19/15,696.0,,,
11/2/15,785.0,,,
11/20/15,711.0,,,
11/21/15,528.0,,,
11/22/15,519.0,,,
11/23/15,650.0,,,
11/24/15,606.0,,,
11/25/15,619.0,Full Moon,n,
11/26/15,589.0,,,
11/27/15,613.0,,,
11/28/15,657.0,,,
11/29/15,612.0,,,
11/3/15,749.0,Third Quarter,n,
11/30/15,667.0,,,
11/4/15,790.0,,,
11/5/15,754.0,,,
11/6/15,747.0,,,
11/7/15,691.0,,,
11/8/15,704.0,,,
11/9/15,684.0,,,
12/1/15,786.0,,,
12/10/15,690.0,,,
12/11/15,742.0,New Moon,n,
12/12/15,752.0,,,
12/13/15,650.0,,,
12/14/15,739.0,,,
12/15/15,793.0,,,
12/16/15,722.0,,,
12/17/15,727.0,,,
12/18/15,654.0,First Quarter,n,
12/19/15,666.0,,,
12/2/15,716.0,Third Quarter,n,
12/20/15,693.0,,,
12/21/15,649.0,,,
12/22/15,694.0,,,
12/23/15,753.0,,,
12/24/15,675.0,,,
12/25/15,498.0,Full Moon,n,
12/26/15,640.0,,,
12/27/15,626.0,,,
12/28/15,516.0,,,
12/29/15,624.0,,,
12/3/15,710.0,,,
12/30/15,603.0,,,
12/31/15,610.0,,,
12/4/15,701.0,,,
12/5/15,707.0,,,
12/6/15,687.0,,,
12/7/15,689.0,,,
12/8/15,730.0,,,
12/9/15,685.0,,,
2/1/15,555.0,,,
2/10/15,628.0,,,
2/11/15,606.0,Third Quarter,n,
2/12/15,610.0,,,
2/13/15,632.0,,,
2/14/15,597.0,,,
2/15/15,552.0,,,
2/16/15,537.0,,,
2/17/15,596.0,,,
2/18/15,510.0,New Moon,y,Super New Moon
2/19/15,463.0,,,
2/2/15,473.0,,,
2/20/15,650.0,,,
2/21/15,652.0,,,
2/22/15,592.0,,,
2/23/15,571.0,,,
2/24/15,627.0,,,
2/25/15,571.0,First Quarter,n,
2/26/15,516.0,,,
2/27/15,638.0,,,
2/28/15,545.0,,,
2/3/15,509.0,Full Moon,n,
2/4/15,577.0,,,
2/5/15,571.0,,,
2/6/15,693.0,,,
2/7/15,678.0,,,
2/8/15,615.0,,,
2/9/15,606.0,,,
3/1/15,753.0,,,
3/10/15,753.0,,,
3/11/15,745.0,,,
3/12/15,751.0,,,
3/13/15,814.0,Third Quarter,n,
3/14/15,798.0,,,
3/15/15,777.0,,,
3/16/15,778.0,,,
3/17/15,691.0,,,
3/18/15,688.0,,,
3/19/15,716.0,,,
3/2/15,658.0,,,
3/20/15,775.0,New Moon,y,Super New Moon
3/21/15,689.0,,,
3/22/15,656.0,,,
3/23/15,592.0,,,
3/24/15,639.0,,,
3/25/15,723.0,,,
3/26/15,684.0,,,
3/27/15,725.0,First Quarter,n,
3/28/15,657.0,,,
3/29/15,619.0,,,
3/3/15,635.0,,,
3/30/15,718.0,,,
3/31/15,693.0,,,
3/4/15,561.0,,,
3/5/15,612.0,Full Moon,y,Micro Full Moon
3/6/15,711.0,,,
3/7/15,695.0,,,
3/8/15,625.0,,,
3/9/15,726.0,,,
4/1/15,923.0,,,
4/10/15,713.0,,,
4/11/15,719.0,Third Quarter,n,
4/12/15,773.0,,,
4/13/15,734.0,,,
4/14/15,767.0,,,
4/15/15,798.0,,,
4/16/15,685.0,,,
4/17/15,785.0,,,
4/18/15,768.0,New Moon,n,
4/19/15,703.0,,,
4/2/15,794.0,,,
4/20/15,743.0,,,
4/21/15,662.0,,,
4/22/15,682.0,,,
4/23/15,732.0,,,
4/24/15,761.0,,,
4/25/15,695.0,First Quarter,n,
4/26/15,718.0,,,
4/27/15,720.0,,,
4/28/15,718.0,,,
4/29/15,766.0,,,
4/3/15,710.0,,,
4/30/15,666.0,,,
4/4/15,691.0,Full Moon,y,Total Lunar Eclipse
4/5/15,673.0,,,
4/6/15,676.0,,,
4/7/15,603.0,,,
4/8/15,679.0,,,
4/9/15,648.0,,,
5/1/15,946.0,,,
5/10/15,741.0,,,
5/11/15,746.0,Third Quarter,n,
5/12/15,757.0,,,
5/13/15,767.0,,,
5/14/15,755.0,,,
5/15/15,821.0,,,
5/16/15,881.0,,,
5/17/15,835.0,New Moon,n,
5/18/15,757.0,,,
5/19/15,707.0,,,
5/2/15,685.0,,,
5/20/15,729.0,,,
5/21/15,744.0,,,
5/22/15,824.0,,,
5/23/15,798.0,,,
5/24/15,687.0,,,
5/25/15,708.0,First Quarter,n,
5/26/15,770.0,,,
5/27/15,737.0,,,
5/28/15,800.0,,,
5/29/15,827.0,,,
5/3/15,745.0,Full Moon,n,
5/30/15,719.0,,,
5/31/15,666.0,,,
5/4/15,778.0,,,
5/5/15,696.0,,,
5/6/15,739.0,,,
5/7/15,824.0,,,
5/8/15,807.0,,,
5/9/15,685.0,,,
6/1/15,948.0,,,
6/10/15,792.0,,,
6/11/15,802.0,,,
6/12/15,827.0,,,
6/13/15,813.0,,,
6/14/15,794.0,,,
6/15/15,739.0,,,
6/16/15,847.0,New Moon,n,
6/17/15,720.0,,,
6/18/15,768.0,,,
6/19/15,775.0,,,
6/2/15,771.0,Full Moon,n,
6/20/15,766.0,,,
6/21/15,783.0,,,
6/22/15,780.0,,,
6/23/15,732.0,,,
6/24/15,728.0,First Quarter,n,
6/25/15,784.0,,,
6/26/15,784.0,,,
6/27/15,723.0,,,
6/28/15,797.0,,,
6/29/15,751.0,,,
6/3/15,777.0,,,
6/30/15,748.0,,,
6/4/15,720.0,,,
6/5/15,786.0,,,
6/6/15,756.0,,,
6/7/15,739.0,,,
6/8/15,681.0,,,
6/9/15,730.0,Third Quarter,n,
7/1/15,882.0,Full Moon,n,
7/10/15,738.0,,,
7/11/15,798.0,,,
7/12/15,801.0,,,
7/13/15,781.0,,,
7/14/15,711.0,,,
7/15/15,793.0,New Moon,n,
7/16/15,671.0,,,
7/17/15,824.0,,,
7/18/15,776.0,,,
7/19/15,762.0,,,
7/2/15,757.0,,,
7/20/15,778.0,,,
7/21/15,776.0,,,
7/22/15,774.0,,,
7/23/15,810.0,First Quarter,n,
7/24/15,866.0,,,
7/25/15,831.0,,,
7/26/15,802.0,,,
7/27/15,835.0,,,
7/28/15,767.0,,,
7/29/15,763.0,,,
7/3/15,768.0,,,
7/30/15,775.0,,,
7/31/15,779.0,Full Moon,y,Blue Moon
7/4/15,845.0,,,
7/5/15,898.0,,,
7/6/15,757.0,,,
7/7/15,700.0,,,
7/8/15,716.0,Third Quarter,n,
7/9/15,671.0,,,
8/1/15,1036.0,,,
8/10/15,807.0,,,
8/11/15,790.0,,,
8/12/15,759.0,,,
8/13/15,783.0,,,
8/14/15,807.0,New Moon,n,
