Date,Violent Crime,NonViolent Crime,Unnamed: 0,Moon Phase,Total Crime
2015-01-01,634,567,4,85.04399999999998,1201
2015-01-02,267,406,16,92.34583333333336,673
2015-01-03,279,369,28,96.77375,648
2015-01-04,221,292,40,99.21041666666667,513
2015-01-05,194,327,52,99.6575,521
2015-01-06,173,329,64,98.18958333333336,502
2015-01-07,164,310,76,94.94666666666667,474
2015-01-08,169,278,88,90.10624999999996,447
2015-01-09,213,377,100,83.87541666666667,590
2015-01-10,234,412,112,76.46958333333333,646
2015-01-11,269,379,124,68.10624999999997,648
2015-01-12,216,391,136,59.00958333333333,607
2015-01-13,227,384,148,49.425,611
2015-01-14,236,439,160,39.63333333333333,675
2015-01-15,260,502,172,29.96875,762
2015-01-16,268,442,184,20.848333333333333,710
2015-01-17,315,426,196,12.767500000000005,741
2015-01-18,336,361,208,6.288333333333331,697
2015-01-19,296,412,220,1.9770833333333333,708
2015-01-20,321,471,232,0.30875,792
2015-01-21,305,440,244,1.5520833333333333,745
2015-01-22,279,473,256,5.697083333333333,752
2015-01-23,327,473,268,12.429166666666667,800
2015-01-24,317,439,280,21.205416666666665,756
2015-01-25,289,357,292,31.360416666666666,646
2015-01-26,256,400,304,42.21,656
2015-01-27,247,427,316,53.13875000000001,674
2015-01-28,224,422,328,63.62583333333333,646
2015-01-29,257,446,339,73.25333333333333,703
2015-01-30,270,444,350,81.695,714
2015-01-31,279,356,360,88.69875000000002,635
2015-02-01,217,338,3,94.08249999999998,555
2015-02-02,190,283,15,97.72291666666666,473
2015-02-03,211,298,27,99.555,509
2015-02-04,238,339,39,99.57083333333334,577
2015-02-05,228,343,51,97.80833333333334,571
2015-02-06,275,418,63,94.35499999999998,693
2015-02-07,287,391,75,89.33583333333333,678
2015-02-08,278,337,87,82.89708333333333,615
2015-02-09,221,385,99,75.21666666666667,606
2015-02-10,251,377,111,66.48875000000001,628
2015-02-11,230,376,123,56.94125,606
2015-02-12,238,372,135,46.85666666666666,610
