,Date,Violent Crime,NonViolent Crime,Unnamed: 0,Moon Phase_x,Total Crime,Crime Count,Moon Phase_y,Special,Special Type
0,1/1/15,634.0,567.0,4.0,85.04399999999998,1201.0,1201.0,,,
1,1/2/15,267.0,406.0,16.0,92.34583333333336,673.0,673.0,,,
2,1/3/15,279.0,369.0,28.0,96.77375,648.0,648.0,,,
3,1/4/15,221.0,292.0,40.0,99.21041666666667,513.0,513.0,Full Moon,n,
4,1/5/15,194.0,327.0,52.0,99.6575,521.0,521.0,,,
5,1/6/15,173.0,329.0,64.0,98.18958333333336,502.0,502.0,,,
6,1/7/15,164.0,310.0,76.0,94.94666666666667,474.0,474.0,,,
7,1/8/15,169.0,278.0,88.0,90.10624999999996,447.0,447.0,,,
8,1/9/15,213.0,377.0,100.0,83.87541666666667,590.0,590.0,,,
9,1/10/15,234.0,412.0,112.0,76.46958333333333,646.0,646.0,,,
10,1/11/15,269.0,379.0,124.0,68.10624999999997,648.0,648.0,,,
11,1/12/15,216.0,391.0,136.0,59.00958333333333,607.0,607.0,,,
12,1/13/15,227.0,384.0,148.0,49.425,611.0,611.0,Third Quarter,n,
13,1/14/15,236.0,439.0,160.0,39.63333333333333,675.0,675.0,,,
14,1/15/15,260.0,502.0,172.0,29.96875,762.0,762.0,,,
15,1/16/15,268.0,442.0,184.0,20.848333333333333,710.0,710.0,,,
16,1/17/15,315.0,426.0,196.0,12.767500000000005,741.0,741.0,,,
17,1/18/15,336.0,361.0,208.0,6.288333333333331,697.0,697.0,,,
18,1/19/15,296.0,412.0,220.0,1.9770833333333333,708.0,708.0,,,
19,1/20/15,321.0,471.0,232.0,0.30875,792.0,792.0,New Moon,n,
20,1/21/15,305.0,440.0,244.0,1.5520833333333333,745.0,745.0,,,
21,1/22/15,279.0,473.0,256.0,5.697083333333333,752.0,752.0,,,
22,1/23/15,327.0,473.0,268.0,12.429166666666667,800.0,800.0,,,
23,1/24/15,317.0,439.0,280.0,21.205416666666665,756.0,756.0,,,
24,1/25/15,289.0,357.0,292.0,31.360416666666666,646.0,646.0,,,
25,1/26/15,256.0,400.0,304.0,42.21,656.0,656.0,First Quarter,n,
26,1/27/15,247.0,427.0,316.0,53.13875000000001,674.0,674.0,,,
27,1/28/15,224.0,422.0,328.0,63.62583333333333,646.0,646.0,,,
28,1/29/15,257.0,446.0,339.0,73.25333333333333,703.0,703.0,,,
