Date,Crime Count,Moon Phase,Special,Special Type
1/1/15,87.0,,,
1/10/15,71.0,,,
1/11/15,82.0,,,
1/12/15,95.0,,,
1/13/15,64.0,Third Quarter,n,
1/14/15,73.0,,,
1/15/15,106.0,,,
1/16/15,89.0,,,
1/17/15,90.0,,,
1/18/15,79.0,,,
1/19/15,89.0,,,
1/2/15,87.0,,,
1/20/15,76.0,New Moon,n,
1/21/15,75.0,,,
1/22/15,80.0,,,
1/23/15,65.0,,,
1/24/15,97.0,,,
1/25/15,71.0,,,
1/26/15,86.0,First Quarter,n,
1/27/15,76.0,,,
1/28/15,90.0,,,
1/29/15,82.0,,,
1/3/15,81.0,,,
1/30/15,75.0,,,
1/31/15,90.0,,,
1/4/15,81.0,Full Moon,n,
1/5/15,85.0,,,
1/6/15,70.0,,,
1/7/15,58.0,,,
1/8/15,61.0,,,
1/9/15,94.0,,,
10/1/15,84.0,,,
10/10/15,121.0,,,
10/11/15,90.0,,,
10/12/15,77.0,New Moon,y,Micro New Moon
10/13/15,71.0,,,
10/14/15,76.0,,,
10/15/15,72.0,,,
10/16/15,66.0,,,
10/17/15,89.0,,,
10/18/15,78.0,,,
10/19/15,89.0,,,
10/2/15,88.0,,,
10/20/15,78.0,First Quarter,n,
10/21/15,94.0,,,
10/22/15,90.0,,,
10/23/15,110.0,,,
10/24/15,120.0,,,
10/25/15,81.0,,,
10/26/15,93.0,,,
10/27/15,92.0,Full Moon,y,Super Full Moon
10/28/15,76.0,,,
10/29/15,75.0,,,
10/3/15,87.0,,,
10/30/15,77.0,,,
10/31/15,100.0,,,
10/4/15,81.0,Third Quarter,n,
10/5/15,86.0,,,
10/6/15,74.0,,,
10/7/15,93.0,,,
10/8/15,92.0,,,
10/9/15,107.0,,,
11/1/15,79.0,,,
11/10/15,78.0,,,
11/11/15,62.0,New Moon,n,
11/12/15,80.0,,,
11/13/15,94.0,,,
11/14/15,65.0,,,
11/15/15,69.0,,,
11/16/15,81.0,,,
11/17/15,95.0,,,
11/18/15,93.0,First Quarter,n,
11/19/15,45.0,,,
11/2/15,65.0,,,
11/20/15,80.0,,,
11/21/15,73.0,,,
11/22/15,72.0,,,
11/23/15,81.0,,,
11/24/15,66.0,,,
11/25/15,86.0,Full Moon,n,
11/26/15,54.0,,,
11/27/15,102.0,,,
11/28/15,91.0,,,
11/29/15,66.0,,,
11/3/15,93.0,Third Quarter,n,
11/30/15,83.0,,,
11/4/15,110.0,,,
11/5/15,71.0,,,
11/6/15,84.0,,,
11/7/15,101.0,,,
11/8/15,67.0,,,
11/9/15,94.0,,,
12/1/15,83.0,,,
12/10/15,83.0,,,
12/11/15,94.0,New Moon,n,
12/12/15,68.0,,,
12/13/15,98.0,,,
12/14/15,85.0,,,
12/15/15,79.0,,,
12/16/15,93.0,,,
12/17/15,74.0,,,
12/18/15,78.0,First Quarter,n,
12/19/15,86.0,,,
12/2/15,85.0,Third Quarter,n,
12/20/15,78.0,,,
12/21/15,75.0,,,
12/22/15,82.0,,,
12/23/15,76.0,,,
12/24/15,76.0,,,
12/25/15,49.0,Full Moon,n,
12/26/15,60.0,,,
12/27/15,61.0,,,
12/28/15,60.0,,,
12/29/15,73.0,,,
12/3/15,79.0,,,
12/30/15,81.0,,,
12/31/15,87.0,,,
12/4/15,92.0,,,
12/5/15,79.0,,,
12/6/15,77.0,,,
12/7/15,70.0,,,
12/8/15,74.0,,,
12/9/15,76.0,,,
2/1/15,79.0,,,
2/10/15,81.0,,,
2/11/15,73.0,Third Quarter,n,
2/12/15,72.0,,,
2/13/15,75.0,,,
2/14/15,69.0,,,
2/15/15,47.0,,,
2/16/15,48.0,,,
2/17/15,54.0,,,
2/18/15,48.0,New Moon,y,Super New Moon
2/19/15,48.0,,,
2/2/15,82.0,,,
2/20/15,82.0,,,
2/21/15,75.0,,,
2/22/15,57.0,,,
2/23/15,58.0,,,
2/24/15,64.0,,,
2/25/15,47.0,First Quarter,n,
2/26/15,50.0,,,
2/27/15,84.0,,,
2/28/15,80.0,,,
2/3/15,69.0,Full Moon,n,
2/4/15,80.0,,,
2/5/15,62.0,,,
2/6/15,65.0,,,
2/7/15,86.0,,,
2/8/15,67.0,,,
2/9/15,75.0,,,
3/1/15,71.0,,,
3/10/15,60.0,,,
3/11/15,56.0,,,
3/12/15,67.0,,,
3/13/15,76.0,Third Quarter,n,
3/14/15,85.0,,,
3/15/15,69.0,,,
3/16/15,87.0,,,
3/17/15,57.0,,,
3/18/15,65.0,,,
3/19/15,74.0,,,
3/2/15,66.0,,,
3/20/15,68.0,New Moon,y,Super New Moon
3/21/15,70.0,,,
3/22/15,75.0,,,
3/23/15,68.0,,,
3/24/15,98.0,,,
3/25/15,73.0,,,
3/26/15,63.0,,,
3/27/15,86.0,First Quarter,n,
3/28/15,85.0,,,
3/29/15,71.0,,,
3/3/15,61.0,,,
3/30/15,80.0,,,
3/31/15,57.0,,,
3/4/15,87.0,,,
3/5/15,89.0,Full Moon,y,Micro Full Moon
3/6/15,88.0,,,
3/7/15,72.0,,,
3/8/15,80.0,,,
3/9/15,76.0,,,
4/1/15,97.0,,,
4/10/15,91.0,,,
4/11/15,76.0,Third Quarter,n,
4/12/15,66.0,,,
4/13/15,72.0,,,
4/14/15,92.0,,,
4/15/15,78.0,,,
4/16/15,77.0,,,
4/17/15,77.0,,,
4/18/15,77.0,New Moon,n,
4/19/15,69.0,,,
4/2/15,77.0,,,
4/20/15,87.0,,,
4/21/15,61.0,,,
4/22/15,69.0,,,
4/23/15,66.0,,,
4/24/15,82.0,,,
4/25/15,106.0,First Quarter,n,
4/26/15,67.0,,,
4/27/15,58.0,,,
4/28/15,70.0,,,
4/29/15,66.0,,,
4/3/15,78.0,,,
4/30/15,76.0,,,
4/4/15,76.0,Full Moon,y,Total Lunar Eclipse
4/5/15,45.0,,,
4/6/15,81.0,,,
4/7/15,72.0,,,
4/8/15,80.0,,,
4/9/15,78.0,,,
5/1/15,99.0,,,
5/10/15,85.0,,,
5/11/15,85.0,Third Quarter,n,
5/12/15,101.0,,,
5/13/15,100.0,,,
5/14/15,85.0,,,
5/15/15,76.0,,,
5/16/15,95.0,,,
5/17/15,83.0,New Moon,n,
5/18/15,98.0,,,
5/19/15,100.0,,,
5/2/15,78.0,,,
5/20/15,89.0,,,
5/21/15,85.0,,,
5/22/15,95.0,,,
5/23/15,98.0,,,
5/24/15,89.0,,,
5/25/15,87.0,First Quarter,n,
5/26/15,74.0,,,
5/27/15,91.0,,,
5/28/15,89.0,,,
5/29/15,77.0,,,
5/3/15,81.0,Full Moon,n,
5/30/15,90.0,,,
5/31/15,71.0,,,
5/4/15,81.0,,,
5/5/15,84.0,,,
5/6/15,93.0,,,
5/7/15,84.0,,,
5/8/15,84.0,,,
5/9/15,86.0,,,
6/1/15,71.0,,,
6/10/15,74.0,,,
6/11/15,88.0,,,
6/12/15,102.0,,,
6/13/15,92.0,,,
6/14/15,81.0,,,
