,Occur Date,Offense Type
133,4/24/2015,Fondling
241,9/3/2015,Identity Theft
372,11/19/2015,Credit Card/ATM Fraud
373,11/22/2015,Credit Card/ATM Fraud
374,11/23/2015,Credit Card/ATM Fraud
375,11/28/2015,Credit Card/ATM Fraud
376,11/20/2015,Credit Card/ATM Fraud
377,11/8/2015,Credit Card/ATM Fraud
378,11/20/2015,Credit Card/ATM Fraud
379,11/22/2015,Credit Card/ATM Fraud
380,11/5/2015,Credit Card/ATM Fraud
381,11/6/2015,Credit Card/ATM Fraud
382,11/27/2015,Credit Card/ATM Fraud
383,10/5/2015,Credit Card/ATM Fraud
384,10/7/2015,Credit Card/ATM Fraud
385,10/30/2015,Credit Card/ATM Fraud
386,11/22/2015,Credit Card/ATM Fraud
387,11/29/2015,Credit Card/ATM Fraud
389,11/3/2015,Credit Card/ATM Fraud
390,11/5/2015,Credit Card/ATM Fraud
391,11/12/2015,Credit Card/ATM Fraud
392,11/18/2015,Credit Card/ATM Fraud
393,11/21/2015,Credit Card/ATM Fraud
394,11/22/2015,Credit Card/ATM Fraud
395,11/22/2015,Credit Card/ATM Fraud
396,11/21/2015,Credit Card/ATM Fraud
397,11/21/2015,Credit Card/ATM Fraud
398,11/28/2015,Credit Card/ATM Fraud
399,11/9/2015,Credit Card/ATM Fraud
400,11/19/2015,Credit Card/ATM Fraud
401,11/10/2015,Credit Card/ATM Fraud
402,11/15/2015,Credit Card/ATM Fraud
403,11/3/2015,Credit Card/ATM Fraud
404,11/11/2015,Credit Card/ATM Fraud
405,11/22/2015,Credit Card/ATM Fraud
406,11/22/2015,Credit Card/ATM Fraud
407,11/21/2015,Credit Card/ATM Fraud
408,11/23/2015,Credit Card/ATM Fraud
409,11/14/2015,Credit Card/ATM Fraud
410,11/3/2015,Credit Card/ATM Fraud
411,11/3/2015,Credit Card/ATM Fraud
412,11/9/2015,Credit Card/ATM Fraud
413,11/18/2015,Credit Card/ATM Fraud
414,11/29/2015,Credit Card/ATM Fraud
415,11/21/2015,Credit Card/ATM Fraud
416,11/26/2015,Credit Card/ATM Fraud
417,11/27/2015,Credit Card/ATM Fraud
418,10/27/2015,Credit Card/ATM Fraud
419,11/3/2015,Credit Card/ATM Fraud
421,11/21/2015,Credit Card/ATM Fraud
422,11/1/2015,Credit Card/ATM Fraud
565,8/12/2015,Theft of Motor Vehicle Parts or Accessories
566,8/26/2015,Theft of Motor Vehicle Parts or Accessories
567,8/2/2015,Theft of Motor Vehicle Parts or Accessories
568,8/8/2015,Theft of Motor Vehicle Parts or Accessories
569,8/11/2015,Theft of Motor Vehicle Parts or Accessories
570,8/13/2015,Theft of Motor Vehicle Parts or Accessories
571,8/18/2015,Theft of Motor Vehicle Parts or Accessories
572,8/23/2015,Theft of Motor Vehicle Parts or Accessories
573,8/26/2015,Theft of Motor Vehicle Parts or Accessories
574,8/28/2015,Theft of Motor Vehicle Parts or Accessories
575,8/10/2015,Theft of Motor Vehicle Parts or Accessories
576,8/17/2015,Theft of Motor Vehicle Parts or Accessories
578,7/31/2015,Theft of Motor Vehicle Parts or Accessories
579,8/7/2015,Theft of Motor Vehicle Parts or Accessories
580,8/21/2015,Theft of Motor Vehicle Parts or Accessories
581,8/10/2015,Theft of Motor Vehicle Parts or Accessories
582,8/31/2015,Theft of Motor Vehicle Parts or Accessories
583,7/31/2015,Theft of Motor Vehicle Parts or Accessories
584,8/14/2015,Theft of Motor Vehicle Parts or Accessories
585,8/17/2015,Theft of Motor Vehicle Parts or Accessories
586,8/20/2015,Theft of Motor Vehicle Parts or Accessories
587,8/27/2015,Theft of Motor Vehicle Parts or Accessories
588,8/31/2015,Theft of Motor Vehicle Parts or Accessories
589,8/6/2015,Theft of Motor Vehicle Parts or Accessories
590,8/12/2015,Theft of Motor Vehicle Parts or Accessories
591,8/24/2015,Theft of Motor Vehicle Parts or Accessories
592,8/11/2015,Theft of Motor Vehicle Parts or Accessories
593,8/26/2015,Theft of Motor Vehicle Parts or Accessories
594,8/1/2015,Theft of Motor Vehicle Parts or Accessories
595,8/7/2015,Theft of Motor Vehicle Parts or Accessories
596,8/24/2015,Theft of Motor Vehicle Parts or Accessories
597,8/30/2015,Theft of Motor Vehicle Parts or Accessories
598,8/22/2015,Theft of Motor Vehicle Parts or Accessories
599,7/30/2015,Theft of Motor Vehicle Parts or Accessories
600,8/3/2015,Theft of Motor Vehicle Parts or Accessories
601,8/6/2015,Theft of Motor Vehicle Parts or Accessories
602,8/24/2015,Theft of Motor Vehicle Parts or Accessories
603,8/29/2015,Theft of Motor Vehicle Parts or Accessories
604,8/31/2015,Theft of Motor Vehicle Parts or Accessories
605,7/26/2015,Theft of Motor Vehicle Parts or Accessories
606,8/25/2015,Theft of Motor Vehicle Parts or Accessories
607,8/1/2015,Theft of Motor Vehicle Parts or Accessories
608,8/26/2015,Theft of Motor Vehicle Parts or Accessories
609,8/9/2015,Theft of Motor Vehicle Parts or Accessories
610,8/18/2015,Theft of Motor Vehicle Parts or Accessories
611,8/20/2015,Theft of Motor Vehicle Parts or Accessories
612,8/2/2015,Theft of Motor Vehicle Parts or Accessories
613,8/9/2015,Theft of Motor Vehicle Parts or Accessories
614,8/14/2015,Theft of Motor Vehicle Parts or Accessories
615,8/25/2015,Theft of Motor Vehicle Parts or Accessories
616,8/26/2015,Theft of Motor Vehicle Parts or Accessories
617,8/28/2015,Theft of Motor Vehicle Parts or Accessories
618,8/18/2015,Theft of Motor Vehicle Parts or Accessories
619,8/19/2015,Theft of Motor Vehicle Parts or Accessories
620,8/25/2015,Theft of Motor Vehicle Parts or Accessories
621,8/21/2015,Theft of Motor Vehicle Parts or Accessories
622,8/17/2015,Theft of Motor Vehicle Parts or Accessories
623,8/10/2015,Theft of Motor Vehicle Parts or Accessories
624,8/16/2015,Theft of Motor Vehicle Parts or Accessories
625,8/9/2015,Theft of Motor Vehicle Parts or Accessories
626,8/20/2015,Theft of Motor Vehicle Parts or Accessories
