Moon Phase,Date,Special,Special Type
Full Moon,1/4/2015,n,
Third Quarter,1/13/2015,n,
New Moon,1/20/2015,n,
First Quarter,1/26/2015,n,
Full Moon,2/3/2015,n,
Third Quarter,2/11/2015,n,
New Moon,2/18/2015,y,Super New Moon
First Quarter,2/25/2015,n,
Full Moon,3/5/2015,y,Micro Full Moon
Third Quarter,3/13/2015,n,
New Moon,3/20/2015,y,Super New Moon
First Quarter,3/27/2015,n,
Full Moon,4/4/2015,y,Total Lunar Eclipse
Third Quarter,4/11/2015,n,
New Moon,4/18/2015,n,
First Quarter,4/25/2015,n,
Full Moon,5/3/2015,n,
Third Quarter,5/11/2015,n,
New Moon,5/17/2015,n,
First Quarter,5/25/2015,n,
Full Moon,6/2/2015,n,
Third Quarter,6/9/2015,n,
New Moon,6/16/2015,n,
First Quarter,6/24/2015,n,
Full Moon,7/1/2015,n,
Third Quarter,7/8/2015,n,
New Moon,7/15/2015,n,
First Quarter,7/23/2015,n,
Full Moon,7/31/2015,y,Blue Moon
Third Quarter,8/6/2015,n,
New Moon,8/14/2015,n,
First Quarter,8/22/2015,n,
Full Moon,8/29/2015,y,Super Full Moon
Third Quarter,9/5/2015,n,
New Moon,9/12/2015,y,Micro New Moon
First Quarter,9/21/2015,n,
Full Moon,9/27/2015,y,"Super Full Moon, Total Lunar Eclipse"
Third Quarter,10/4/2015,n,
New Moon,10/12/2015,y,Micro New Moon
First Quarter,10/20/2015,n,
Full Moon,10/27/2015,y,Super Full Moon
Third Quarter,11/3/2015,n,
New Moon,11/11/2015,n,
First Quarter,11/18/2015,n,
Full Moon,11/25/2015,n,
Third Quarter,12/2/2015,n,
New Moon,12/11/2015,n,
First Quarter,12/18/2015,n,
Full Moon,12/25/2015,n,
,,,
